step	acc
49	0.09062056243419647
99	0.10510364919900894
149	0.13709327578544617
199	0.1394631266593933
249	0.14277693629264832
299	0.16892829537391663
349	0.17652598023414612
399	0.1577042043209076
449	0.1870027780532837
499	0.19452029466629028
549	0.21528783440589905
599	0.23040702939033508
649	0.19968083500862122
699	0.21933883428573608
749	0.20493647456169128
799	0.22558006644248962
849	0.23612238466739655
899	0.21324488520622253
949	0.2304501235485077
999	0.22250041365623474
1049	0.23441341519355774
1099	0.23782780766487122
1149	0.24050183594226837
1199	0.2548307776451111
1249	0.22360961139202118
1299	0.24851763248443604
1349	0.2732715904712677
1399	0.2399168312549591
1449	0.22618699073791504
1499	0.2636773884296417
1504	0.23080527782440186
