step	loss
49	0.23360593616962433
99	0.21666863560676575
149	0.20438745617866516
199	0.18772511184215546
249	0.17944981157779694
299	0.18668335676193237
349	0.17598168551921844
399	0.16521920263767242
449	0.16728925704956055
499	0.16383859515190125
549	0.1687503457069397
599	0.16121630370616913
649	0.1566413938999176
699	0.16148604452610016
749	0.16010449826717377
799	0.15542428195476532
849	0.15153297781944275
899	0.14997026324272156
949	0.15178194642066956
999	0.15090182423591614
1049	0.1520526111125946
1099	0.16291281580924988
1149	0.14956119656562805
1199	0.1448971927165985
1249	0.1551576554775238
1299	0.1513485610485077
1349	0.1515946090221405
1399	0.14243841171264648
1449	0.1564590185880661
1499	0.14867596328258514
1504	0.14762531220912933
